X,Результаты модуля (RealMathModule),Результаты модуля (IterMathModule)
-5.7437,618912.5283606856,618912.5484711584
-5.7426,608692.0357333755,608692.0554182053
-5.7415,598644.441944399,598644.4612177522
-5.7404,588766.650042311,588766.6689178866
-5.7393,579055.622984506,579055.6414755681
-5.7382,569508.3823729819,569508.4004923477
-5.7371,560122.0072191978,560122.0249792644
-5.736,550893.632737356,550893.6501501178
-5.7349,541820.4491654144,541820.4662424783
-5.7338000000000005,532899.7006131491,532899.7173657337
-5.7327,524128.68393642723,524128.70037538535
-5.7316,515504.7476373522,515504.76377318345
-5.7305,507025.2907893122,507025.30663217005
-5.7294,498687.76198651746,498687.77754622244
-5.7283,490489.6583173494,490489.67360340036
-5.7272,482428.5243609634,482428.5393825494
-5.7261,474501.95120652317,474501.9659725284
-5.725,466707.5754945619,466707.590013576
-5.7239,459043.0784799058,459043.09276024275
-5.7228,451506.1851156184,451506.19916531665
-5.7217,444094.6631575104,444094.6769843433
-5.7206,436806.3222886106,436806.33590009145
-5.7195,429639.01326322067,429639.0266666203
-5.7184,422590.6270699894,422590.640272337
-5.7173,415659.09411364445,415659.1071217386
-5.7162,408842.3834148052,408842.39623521705
-5.7151,402138.50182755,402138.51446663495
-5.714,395545.4932742677,395545.5057381709
-5.7129,389061.437997336,389061.45029199816
-5.7118,382684.45182734256,382684.463958507
-5.7107,376412.68546729296,376412.69744051376
-5.7096,370244.32379255985,370244.33561320504
-5.7085,364177.58516612794,364177.59683938825
-5.7074,358210.72076878545,358210.7322996751
-5.7063,352342.0139439113,352342.0253372828
-5.7052,346569.7795565131,346569.79081705183
-5.7041,340892.3633661824,340892.3744984184
-5.703,335308.14141359535,335308.1524219094
-5.7019,329815.5194203509,329815.5303089717
-5.7008,324412.9322016793,324412.94297469413
-5.6997,319098.8430918437,319098.8537532042
-5.6986,313871.743381884,313871.75393540773
-5.6975,308730.15176942345,308730.1622188001
-5.6964,303672.6138202557,303672.62416904495
-5.6953,298697.7014414238,298697.7116930704
-5.6942,293804.0123655812,293804.0225234074
-5.6931,288990.16964626557,288990.17971348093
-5.692,284254.82116397104,284254.83114367817
-5.6909,279596.63914264605,279596.64903783886
-5.6898,275014.3196764495,275014.32949001703
-5.6887,270506.5822664916,270506.59200122603
-5.6876,266072.1693673656,266072.1790259628
-5.6865,261709.8459432154,261709.8555282757
-5.6854,257418.39903312793,257418.40854716173
-5.6843,253196.637325653,253196.64677108114
-5.6832,249043.39074220633,249043.4001213664
-5.6821,244957.5100292241,244957.5193443712
-5.681,240937.8663587686,240937.87561207634
-5.6799,236983.35093749434,236983.36013106306
-5.6788,233092.8746237177,233092.88375956766
-5.6777,229265.36755243485,229265.37663251758
-5.6766,225499.77876810564,225499.78779430047
-5.6754999999999995,221795.07586503192,221795.08483915185
-5.6744,218150.24463514713,218150.25355893807
-5.6733,214564.28872305297,214564.29759819788
-5.6722,211036.2292881824,211036.2381163021
-5.6711,207565.10467385055,207565.1134565053
-5.67,204149.97008310974,204149.97882180323
-5.6689,200789.89726123086,200789.9059574081
-5.6678,197483.97418465896,197483.98283971366
-5.6667,194231.30475630984,194231.31337158126
-5.6655999999999995,191031.00850706425,191031.01708384018
-5.6645,187882.2203033247,187882.22884284475
-5.6634,184784.09006048267,184784.09856393884
-5.6623,181735.78246221924,181735.79093075445
-5.6612,178736.47668543065,178736.4851201452
-5.6601,175785.3661307322,175785.37453268198
-5.659,172881.6581583674,172881.66652856805
-5.6579,170024.57382943833,170024.58216886135
-5.6568,167213.34765230626,167213.35596188525
-5.6557,164447.2273340905,164447.23561472035
-5.6546,161725.47353711227,161725.48178965086
-5.6535,159047.35964022286,159047.36786549177
